RTINumber,Template,Subject,MainMessage,User Query
1136054,No Specific Template,The daily progress made on my Appeal petition dated [MASKED_DATE] to cancel the Patta number [MASKED_ID],"My Complaint regarding New Patta No [MASKED_ID] to M.Mohamed Niyas S/O Late .K.M.A . Muthalif, Katchery Street Karambakudi issued by Thasildar, Taluk Office Karambakudi - 622302 Pudukottai District Tamil Nadu despite having received Ad Interim Injunction stay order in Partition Suit No.. O.S20 / 2021 by Principal District Judge (PDJ) Pudukottai 622001 - along with relevant enclosures sent by Speed Post delivered to Thasildar , Karambakudi on [MASKED_DATE]. 

PARA 2 : Despite having received the Copy of Ad Interim Injunction along with its enclosures by Private Notice by my Advocate . David Arockiya Doss, Law Chamber,, Court Complex Pudukottai., based on the misrepresentations / concealing the material facts by the Respondent No.3 of the Civil Suit M.Mohamed Nias @ Karambakudi as described above. 

PARA: 3 : BUT THASILDAR , KARAMBAKUDI TALUK ,PUDUKOTTAI DISTRICT ISSUED A NEW PATTA No.[MASKED_ID] IN THE NAME R 3 .M.MOHAMED NIYAS AGAINST (a)JUDGEMENT OF HONOURABLE MADRAS HIGH COURT, CHENNAI, TAMIL NADU,. (b) Circular issued by The Commissioner of Land Administration , Government of Tamil Nadu , based on the High Court Madras judgement, NOT TO MAKE ANY CHANGE IN THE REVENUE RECORDS WHILE THE MATTER HAS BEEN IN SUBJUDICE 

PARA 4 : However Thasildar of Karambakudi having received Court Stay Order along with its enclosures on [MASKED_DATE] ILLEGALLY ISSUED A NEW PATTA NO.[MASKED_ID] IN TO THE NAME M.MOHAMED NIYAS ON [MASKED_DATE]. 

PARA NO.5 : THESE FACTS WERE SENT TO RDO, REVENUE DEPARTMENT , PUDUKOTTAI - 622001 ( THE APPELLATE AUTHORITY ) ALONG WITH ALL THE RELEVANT PAPERS/ COPY OF HIGH COURT MADRAS JUDGEMENT / COPY OF PDJ PUDUKOTTAI ORDER AND ADVOCATE PRIVATE NOTICE etc.by Speed Post and it was delivered to RDO, PUDUKOTTAI ON [MASKED_DATE]","Subject: The daily progress made on my Appeal petition dated [MASKED_DATE] to cancel the Patta number [MASKED_ID]

My Complaint regarding New Patta No [MASKED_ID] to M.Mohamed Niyas S/O Late .K.M.A . Muthalif, Katchery Street Karambakudi issued by Thasildar, Taluk Office Karambakudi - 622302 Pudukottai District Tamil Nadu despite having received Ad Interim Injunction stay order in Partition Suit No.. O.S20 / 2021 by Principal District Judge (PDJ) Pudukottai 622001 - along with relevant enclosures sent by Speed Post delivered to Thasildar , Karambakudi on [MASKED_DATE]. 

PARA 2 : Despite having received the Copy of Ad Interim Injunction along with its enclosures by Private Notice by my Advocate . David Arockiya Doss, Law Chamber,, Court Complex Pudukottai., based on the misrepresentations / concealing the material facts by the Respondent No.3 of the Civil Suit M.Mohamed Nias @ Karambakudi as described above. 

PARA: 3 : BUT THASILDAR , KARAMBAKUDI TALUK ,PUDUKOTTAI DISTRICT ISSUED A NEW PATTA No.[MASKED_ID] IN THE NAME R 3 .M.MOHAMED NIYAS AGAINST (a)JUDGEMENT OF HONOURABLE MADRAS HIGH COURT, CHENNAI, TAMIL NADU,. (b) Circular issued by The Commissioner of Land Administration , Government of Tamil Nadu , based on the High Court Madras judgement, NOT TO MAKE ANY CHANGE IN THE REVENUE RECORDS WHILE THE MATTER HAS BEEN IN SUBJUDICE 

PARA 4 : However Thasildar of Karambakudi having received Court Stay Order along with its enclosures on [MASKED_DATE] ILLEGALLY ISSUED A NEW PATTA NO.[MASKED_ID] IN TO THE NAME M.MOHAMED NIYAS ON [MASKED_DATE]. 

PARA NO.5 : THESE FACTS WERE SENT TO RDO, REVENUE DEPARTMENT , PUDUKOTTAI - 622001 ( THE APPELLATE AUTHORITY ) ALONG WITH ALL THE RELEVANT PAPERS/ COPY OF HIGH COURT MADRAS JUDGEMENT / COPY OF PDJ PUDUKOTTAI ORDER AND ADVOCATE PRIVATE NOTICE etc.by Speed Post and it was delivered to RDO, PUDUKOTTAI ON [MASKED_DATE]"
1136115,No Specific Template,Information Regarding - whether my personal phone numbers [MASKED_PHONE_NUMBER] and [MASKED_PHONE_NUMBER] were/are under surveillance,I want to know whether my personal phone numbers [MASKED_PHONE_NUMBER] and [MASKED_PHONE_NUMBER] were/are under surveillance by any authority at the behest my family or anybody for that matter in the year [MASKED_DATE],"Subject: Information Regarding - whether my personal phone numbers [MASKED_PHONE_NUMBER] and [MASKED_PHONE_NUMBER] were/are under surveillance

I want to know whether my personal phone numbers [MASKED_PHONE_NUMBER] and [MASKED_PHONE_NUMBER] were/are under surveillance by any authority at the behest my family or anybody for that matter in the year [MASKED_DATE]"
1136166,No Specific Template,The retirement age at KSSRDI.,"Please, let me know the answer to the following about [MASKED_NAME] Scientist Karnataka State Sericulture Research and Development Institute (KSSRDI) who also worked as Director Andhra Pradesh State Sericulture Research and Development Institute, Kirikera, Hindupur. 

Q1. Whether retirement age at KSSRDI is 60 years?

Q2. The date when did Dr.[MASKED_NAME] finally retired or resigned from KSSRDI.","Subject: The retirement age at KSSRDI.

Please, let me know the answer to the following about [MASKED_NAME] Scientist Karnataka State Sericulture Research and Development Institute (KSSRDI) who also worked as Director Andhra Pradesh State Sericulture Research and Development Institute, Kirikera, Hindupur. 

Q1. Whether retirement age at KSSRDI is 60 years?

Q2. The date when did Dr.[MASKED_NAME] finally retired or resigned from KSSRDI."
1136411,No Specific Template,"The total number of the Departmental officers (from the post of Veterinary Surgeon to Additional Directors), who are facing vigilance cases",Howmany departmental officers (from the post of veterinary surgeon to additional directors )are facing vigilance cases including bribe and corruption cases?Please inform the present stations and the home addresses of such veterinary doctors facing vigilance cases.,"Subject: The total number of the Departmental officers (from the post of Veterinary Surgeon to Additional Directors), who are facing vigilance cases

Howmany departmental officers (from the post of veterinary surgeon to additional directors )are facing vigilance cases including bribe and corruption cases?Please inform the present stations and the home addresses of such veterinary doctors facing vigilance cases."
1136416,No Specific Template,The rules regarding the levy of interest by the builder on the non payment of flat purchase amount.,"# RTI against Haryana Real Estate Regulatory Authority (RERA)- Project Name - SHREE HOMES (PHASE-I), address-[MASKED_ADDRESS], project registration no :HRERA-PKL-FBD-112-2019


Query:

1. Project has been delayed, however they are charging heavy interest for non payment . We have already taken home loan for said property (Unit no S1303, Shreehomes, Sarvome Sector 45), and there is nothing due from our side, and bank is doing payment on construction basis and only last payment of Rs [MASKED_ID].00 is due.

2. Till date only superstructure of S tower is done, and nothing more than that. The project has been started from [MASKED_DATE]. At this rate it will take another one and half year for project completion.

3. Bank is not releasing last payment to builder as the project is not completed, and builder is charging interest on same.

4. Now builder is demanding payment on Time line basis and bank is charging on construction basis.

5. We have availed loan and project is already been delayed, its not our fault.

We have already given penal interest of Rs [MASKED_ID].00 during the COVID and as per govt guidelines , interest shouldn't be charged","Subject: The rules regarding the levy of interest by the builder on the non payment of flat purchase amount.

# RTI against Haryana Real Estate Regulatory Authority (RERA)- Project Name - SHREE HOMES (PHASE-I), address-[MASKED_ADDRESS], project registration no :HRERA-PKL-FBD-112-2019


Query:

1. Project has been delayed, however they are charging heavy interest for non payment . We have already taken home loan for said property (Unit no S1303, Shreehomes, Sarvome Sector 45), and there is nothing due from our side, and bank is doing payment on construction basis and only last payment of Rs [MASKED_ID].00 is due.

2. Till date only superstructure of S tower is done, and nothing more than that. The project has been started from [MASKED_DATE]. At this rate it will take another one and half year for project completion.

3. Bank is not releasing last payment to builder as the project is not completed, and builder is charging interest on same.

4. Now builder is demanding payment on Time line basis and bank is charging on construction basis.

5. We have availed loan and project is already been delayed, its not our fault.

We have already given penal interest of Rs [MASKED_ID].00 during the COVID and as per govt guidelines , interest shouldn't be charged"
1136541,No Specific Template,The documents submitted by both Bride and bridegroom for registration of Marriage certificate no [MASKED_ID] dated [MASKED_DATE],Marriage certificate no [MASKED_ID] dated [MASKED_DATE] issued by Marriage officer Patna Mr. Rishikesh Sahpuri issued based on false documents for the marriage of [MASKED_NAME] and [MASKED_NAME] yadav . Conditions of marriage not fulfilled . Need base documents of both Bride and bridegroom submitted by them for registration . Pl. provide us documents for further action on them .,"Subject: The documents submitted by both Bride and bridegroom for registration of Marriage certificate no [MASKED_ID] dated [MASKED_DATE]

Marriage certificate no [MASKED_ID] dated [MASKED_DATE] issued by Marriage officer Patna Mr. Rishikesh Sahpuri issued based on false documents for the marriage of [MASKED_NAME] and [MASKED_NAME] yadav . Conditions of marriage not fulfilled . Need base documents of both Bride and bridegroom submitted by them for registration . Pl. provide us documents for further action on them ."
1136571,No Specific Template,"The names of members and officer bearers including President, Secretary, Chairman and Treasurer of [MASKED_COMPANY_NAME]","1. Please provide me the names of members and officer bearers including President, Secretary, Chairman and Treasurer of [MASKED_COMPANY_NAME] registration no S-9/2022-2023 in Belguri Baksa Dist under RTI act.

2. Also please let me know if under Cooperative Societies Act, there is any provision which says that a person resident and citizen of India from state of [MASKED_STATE] cannot be member of a cooperative society established under BTAD region.

3. Please let me know if there is any provision in any law under Indian constitution or ACT's bares a person living in [MASKED_STATE] to become a member in a cooperative society in BTAD controlled area.","Subject: The names of members and officer bearers including President, Secretary, Chairman and Treasurer of [MASKED_COMPANY_NAME]

1. Please provide me the names of members and officer bearers including President, Secretary, Chairman and Treasurer of [MASKED_COMPANY_NAME] registration no S-9/2022-2023 in Belguri Baksa Dist under RTI act.

2. Also please let me know if under Cooperative Societies Act, there is any provision which says that a person resident and citizen of India from state of [MASKED_STATE] cannot be member of a cooperative society established under BTAD region.

3. Please let me know if there is any provision in any law under Indian constitution or ACT's bares a person living in [MASKED_STATE] to become a member in a cooperative society in BTAD controlled area."
1136604,No Specific Template,"The rules and procedures to file a complaint against [MASKED_COMPANY_NAME], Village [MASKED_ADDRESS], District [MASKED_ADDRESS]",[masked_name] ke manmaani se [masked_address] pareshan hai,"Subject: The rules and procedures to file a complaint against [MASKED_COMPANY_NAME], Village [MASKED_ADDRESS], District [MASKED_ADDRESS]

[masked_name] ke manmaani se [masked_address] pareshan hai"
1136687,No Specific Template,Information Regarding - the certified copy of Proceedings issued,"We need certified copy of Proceedings issued by District collector , [MASKED_ADDRESS], Present:[MASKED_NAME], IAS\n\nProcgs.No.LC/637/[MASKED_DATE] Dated [MASKED_DATE]\n\nSub; Land Alienation- [MASKED_ADDRESS]- Bachupally Mandal - Nizampet Village sy.No.93 Extent Ac0.23 gts Allocation of govt Land for the purpose of Public park - Advance possession - orders issue- reg.","Subject: Information Regarding - the certified copy of Proceedings issued

We need certified copy of Proceedings issued by District collector , [MASKED_ADDRESS], Present:[MASKED_NAME], IAS\n\nProcgs.No.LC/637/[MASKED_DATE] Dated [MASKED_DATE]\n\nSub; Land Alienation- [MASKED_ADDRESS]- Bachupally Mandal - Nizampet Village sy.No.93 Extent Ac0.23 gts Allocation of govt Land for the purpose of Public park - Advance possession - orders issue- reg."
1136765,No Specific Template,"The official date and year, when the Forest Gazette Notification was issued in Nawabpeta village, Shivampeta Mandal in the [MASKED_COMPANY_NAME] district","Forest department of [MASKED_COMPANY_NAME] in narsapur range nawabpet village revenue survey number 216 have any Forest land? It have any forest land, provide full details this Forest land","Subject: The official date and year, when the Forest Gazette Notification was issued in Nawabpeta village, Shivampeta Mandal in the [MASKED_COMPANY_NAME] district

Forest department of [MASKED_COMPANY_NAME] in narsapur range nawabpet village revenue survey number 216 have any Forest land? It have any forest land, provide full details this Forest land"
1138105,No Specific Template,The rules regarding School Pass of the Children of the [MASKED_COMPANY_NAME] Employees.,"Want to know in [MASKED_COMPANY_NAME] employees son/daughter get school pass.\n\n1) if break journey is allowed in school pass?\n2) if yes, then how many break journey is allowed in school pass? \n3) if no, then what are the [MASKED_COMPANY_NAME] circular/authourity to deny such break journey in school pass? And copy of the [MASKED_COMPANY_NAME] circular.\n\n4) if pass issue authority can denied mentioning break journey in school pass by their own though applicant applied for school pass with break journey?","Subject: The rules regarding School Pass of the Children of the [MASKED_COMPANY_NAME] Employees.

Want to know in [MASKED_COMPANY_NAME] employees son/daughter get school pass.\n\n1) if break journey is allowed in school pass?\n2) if yes, then how many break journey is allowed in school pass? \n3) if no, then what are the [MASKED_COMPANY_NAME] circular/authourity to deny such break journey in school pass? And copy of the [MASKED_COMPANY_NAME] circular.\n\n4) if pass issue authority can denied mentioning break journey in school pass by their own though applicant applied for school pass with break journey?"
1138122,No Specific Template,The fee structure for the plumbing work doing by the [MASKED_COMPANY_NAME] for the water connection to the houses,I would like to know the fee structure for the plumbing work doing by the [MASKED_COMPANY_NAME] for the water connection to the houses. Please include the minimum charge and also charges for the additional length of pipe. I’m filing this RTI since i have wondered by knowing the plumbing charges said by the contractor for my 20 meter long connection from main pipe line to my house. Please let me know the fee structure so that i can calculate the charges for my water connection.,"Subject: The fee structure for the plumbing work doing by the [MASKED_COMPANY_NAME] for the water connection to the houses

I would like to know the fee structure for the plumbing work doing by the [MASKED_COMPANY_NAME] for the water connection to the houses. Please include the minimum charge and also charges for the additional length of pipe. I’m filing this RTI since i have wondered by knowing the plumbing charges said by the contractor for my 20 meter long connection from main pipe line to my house. Please let me know the fee structure so that i can calculate the charges for my water connection."
1138149,No Specific Template,"Information Regarding - Transaction details of rs. 18, 556.36 from my account ([MASKED_ID]) sbi j/2-bk dutta market to bajaj alliance.","From:- Prof. (Dr.) [MASKED_NAME] \tDated:- 01 September 2022.\n E Mail- [MASKED_EMAIL]\nMobile- [MASKED_PHONE_NUMBER] Calling as well as whatsapp also\n E Mail- [MASKED_EMAIL]\nAddress: -[MASKED_ADDRESS].\nTo \nThe CPIO\nState Bank Of India\nOff No-J-2/17,B.K.Dutta Market, Rajouri Garden, New Delhi, Delhi 110027\n\nSubject:- Suspected fraud/ harassment ass Rs. 18, 556.36 \nSir/ Madam\nI am Dr [MASKED_NAME], Citizen of Republic of India and has to submit that there is Suspected fraud/ harassment ass Rs. 18, 556.36 deducted from my account at SBI J/2-BK DDDuta Maarket branch Rajouri Garden New Delhi on 11th July 2022 with online retrieved message from my SBI Branch is\n11 Jul 2022 11 Jul 2022 DEBIT-CMP MANDATE DEBIT\nBULK BAJAJ ALLIANZ DDT\nSBI-\n18,556.36\nThat I have not been asscociated with Bajaj Allaince in anyway recently\nPlease look into the matter as URGENT as it is causing financial and mental haraasment to me and if some cybercrime is suspected please advise me/ refind my amount immediately.I may be pelase intimated at earliest that on which account / ground above deduction has been made to account of Baja Allainz before any further harm is done.\nThanks\nDr. [MASKED_NAME]","Subject: Information Regarding - Transaction details of rs. 18, 556.36 from my account ([MASKED_ID]) sbi j/2-bk dutta market to bajaj alliance.

From:- Prof. (Dr.) [MASKED_NAME] \tDated:- 01 September 2022.\n E Mail- [MASKED_EMAIL]\nMobile- [MASKED_PHONE_NUMBER] Calling as well as whatsapp also\n E Mail- [MASKED_EMAIL]\nAddress: -[MASKED_ADDRESS].\nTo \nThe CPIO\nState Bank Of India\nOff No-J-2/17,B.K.Dutta Market, Rajouri Garden, New Delhi, Delhi 110027\n\nSubject:- Suspected fraud/ harassment ass Rs. 18, 556.36 \nSir/ Madam\nI am Dr [MASKED_NAME], Citizen of Republic of India and has to submit that there is Suspected fraud/ harassment ass Rs. 18, 556.36 deducted from my account at SBI J/2-BK DDDuta Maarket branch Rajouri Garden New Delhi on 11th July 2022 with online retrieved message from my SBI Branch is\n11 Jul 2022 11 Jul 2022 DEBIT-CMP MANDATE DEBIT\nBULK BAJAJ ALLIANZ DDT\nSBI-\n18,556.36\nThat I have not been asscociated with Bajaj Allaince in anyway recently\nPlease look into the matter as URGENT as it is causing financial and mental haraasment to me and if some cybercrime is suspected please advise me/ refind my amount immediately.I may be pelase intimated at earliest that on which account / ground above deduction has been made to account of Baja Allainz before any further harm is done.\nThanks\nDr. [MASKED_NAME]"
1138310,No Specific Template,"The present status of the Loan amount of Rs [MASKED_ID] deducted from my pension account: [MASKED_NAME], Ac no: [MASKED_ID]","I [MASKED_NAME] wife of Late [MASKED_NAME]. My husband was posted in \nIndian Railways, Mancheswar, Bhubaneswar, Odisha department and he had \navailed housing loan from East Coast Railway, Mancheswar, Bhubaneswar, Indian \nRailways. After the death of my father in 2006 the loan due amount Rs [MASKED_ID] \nalready deducted by the SBI SME branch, Kalyani nagar, Cuttack from order of \nEast Coast Railway, Mancheswar, Bhubaneswar, Indian Railways government \nDepartment from my pension account: [MASKED_NAME], Ac no: \n[MASKED_ID].","Subject: The present status of the Loan amount of Rs [MASKED_ID] deducted from my pension account: [MASKED_NAME], Ac no: [MASKED_ID]

I [MASKED_NAME] wife of Late [MASKED_NAME]. My husband was posted in \nIndian Railways, Mancheswar, Bhubaneswar, Odisha department and he had \navailed housing loan from East Coast Railway, Mancheswar, Bhubaneswar, Indian \nRailways. After the death of my father in 2006 the loan due amount Rs [MASKED_ID] \nalready deducted by the SBI SME branch, Kalyani nagar, Cuttack from order of \nEast Coast Railway, Mancheswar, Bhubaneswar, Indian Railways government \nDepartment from my pension account: [MASKED_NAME], Ac no: \n[MASKED_ID]."
1138425,No Specific Template,The daily progress made on my son's application dated 12/04/2012 for compassionate appointment in place of [MASKED_NAME],"Due to his mother's ( [MASKED_NAME] ) sudden death 08/11/[MASKED_DATE] when she was in service as an assistant teacher at Bawali High school (HS) South 24 parganas,\nMy son Indranil apply for compassion ground appointment on 14/09/2009 at Bawali School. He further applied at DI office 12/04/[MASKED_DATE] as per instructions of HM of Bawali School Mr. [MASKED_NAME], but till date no reply has received from DI Office.\nIn view of above, I like to know the status of my application.","Subject: The daily progress made on my son's application dated 12/04/2012 for compassionate appointment in place of [MASKED_NAME]

Due to his mother's ( [MASKED_NAME] ) sudden death 08/11/[MASKED_DATE] when she was in service as an assistant teacher at Bawali High school (HS) South 24 parganas,\nMy son Indranil apply for compassion ground appointment on 14/09/2009 at Bawali School. He further applied at DI office 12/04/[MASKED_DATE] as per instructions of HM of Bawali School Mr. [MASKED_NAME], but till date no reply has received from DI Office.\nIn view of above, I like to know the status of my application."
1138498,No Specific Template,Was [MASKED_NAME] University affiliated with Guru ghasidas University since [MASKED_DATE]? 2_From which year guru ghasidas University gave NOC regarding affiliation to [MASKED_NAME] University to run B.ed course under [MASKED_NAME] college of education? Had guru ghasidas University given any B.ed pass certificate of [MASKED_NAME] University if yes since when?,"1_From which year [MASKED_NAME] college of education affiliated with [MASKED_NAME] University to run B.ed of one year course? 2_From which year [MASKED_NAME] college of education became [MASKED_NAME] University 3_Was [MASKED_NAME] University affiliated with Guru ghasidas University, [MASKED_ADDRESS] for B.ed course from the session [MASKED_DATE]_[MASKED_DATE]","Subject: Was [MASKED_NAME] University affiliated with Guru ghasidas University since [MASKED_DATE]? 2_From which year guru ghasidas University gave NOC regarding affiliation to [MASKED_NAME] University to run B.ed course under [MASKED_NAME] college of education? Had guru ghasidas University given any B.ed pass certificate of [MASKED_NAME] University if yes since when?

1_From which year [MASKED_NAME] college of education affiliated with [MASKED_NAME] University to run B.ed of one year course? 2_From which year [MASKED_NAME] college of education became [MASKED_NAME] University 3_Was [MASKED_NAME] University affiliated with Guru ghasidas University, [MASKED_ADDRESS] for B.ed course from the session [MASKED_DATE]_[MASKED_DATE]"
1138854,No Specific Template,The daily progress made on Children Education Allowance (CEA) of my son [MASKED_NAME],Non implementation of CEA-1 since FY 2019-20 by PAO GREF,"Subject: The daily progress made on Children Education Allowance (CEA) of my son [MASKED_NAME]

Non implementation of CEA-1 since FY 2019-20 by PAO GREF"
1138947,No Specific Template,A certified copy of the rules and regulations making it mandatory for the Kashmiri migrants to register with Kashmiri Samiti Delhi,"1. Provisions of law / under which [MASKED_NAME] registered with Delhi Adm must be registered with kashmiri samiti Delhi and non registrant with kasmiri samiti are not eligible for monthly relief.\n2.what is the prescribed period for redressal of grevience by Revenue office . Can representations \nbe filed without communicating decision taken by competent athority.\n3.Reasons for not complying with instructions given by HQ on file , computer no [MASKED_PHONE_NUMBER] forwarded by SDM Tudda Mandi to HQ for instructions in the year [MASKED_DATE]. Now file is lying with DM Saket since [MASKED_DATE].","Subject: A certified copy of the rules and regulations making it mandatory for the Kashmiri migrants to register with Kashmiri Samiti Delhi

1. Provisions of law / under which [MASKED_NAME] registered with Delhi Adm must be registered with kashmiri samiti Delhi and non registrant with kasmiri samiti are not eligible for monthly relief.\n2.what is the prescribed period for redressal of grevience by Revenue office . Can representations \nbe filed without communicating decision taken by competent athority.\n3.Reasons for not complying with instructions given by HQ on file , computer no [MASKED_PHONE_NUMBER] forwarded by SDM Tudda Mandi to HQ for instructions in the year [MASKED_DATE]. Now file is lying with DM Saket since [MASKED_DATE]."
1139072,No Specific Template,"The present status of the Land Plot # 213, 211 in survey no 36/11 [MASKED_VILLAGE], Serlingampally mandal",We got plot in survey number 36/11 there was a dispute if it is government land or private land. Basis recent Supreme Court judgement it is advised by SC to [MASKED_STATE_NAME] govt to continue statusco as per land / ventures registered in the past to people . My question is what is the current status of applicability of SC order and how some registration are happening in that survey number on what grounds,"Subject: The present status of the Land Plot # 213, 211 in survey no 36/11 [MASKED_VILLAGE], Serlingampally mandal

We got plot in survey number 36/11 there was a dispute if it is government land or private land. Basis recent Supreme Court judgement it is advised by SC to [MASKED_STATE_NAME] govt to continue statusco as per land / ventures registered in the past to people . My question is what is the current status of applicability of SC order and how some registration are happening in that survey number on what grounds"
1142186,No Specific Template,The embargo in election of cooperative society in West Bengal.,"1) Please provide Reasons for embargo in election of cooperative society in West Bengal \n\n2) Please provide information pertaining to the Status on probable date of resumption of election of cooperative society, West Bengal","Subject: The embargo in election of cooperative society in West Bengal.

1) Please provide Reasons for embargo in election of cooperative society in West Bengal \n\n2) Please provide information pertaining to the Status on probable date of resumption of election of cooperative society, West Bengal"
1142204,No Specific Template,"The Fair Market Value of land as on [MASKED_DATE] of the land ReSurvey No [MASKED_RESURVEY_NUMBER], Resurvey sub division No [MASKED_SUBDIVISION_NUMBER]","Fair Market Value of land as on [MASKED_DATE] \n[ MASKED_COMPANY_NAME],District/RDO/Taluk -[MASKED_CITY], [MASKED_VILLAGE], Block No [MASKED_BLOCK_NUMBER], ReSurvey No [MASKED_RESURVEY_NUMBER], Resurvey sub division No [MASKED_SUBDIVISION_NUMBER], land type- Residential plot with NH/PWD road access","Subject: The Fair Market Value of land as on [MASKED_DATE] of the land ReSurvey No [MASKED_RESURVEY_NUMBER], Resurvey sub division No [MASKED_SUBDIVISION_NUMBER]

Fair Market Value of land as on [MASKED_DATE] \n[ MASKED_COMPANY_NAME],District/RDO/Taluk -[MASKED_CITY], [MASKED_VILLAGE], Block No [MASKED_BLOCK_NUMBER], ReSurvey No [MASKED_RESURVEY_NUMBER], Resurvey sub division No [MASKED_SUBDIVISION_NUMBER], land type- Residential plot with NH/PWD road access"
1142319,No Specific Template,The rules regarding gap in part SAR due to transit leave due to transfer,"Application under RTI act 2005\nSUB: REQUEST FOR PROVIDING CLARIFICATION REGARDING THE GAP IN SAR-2020-21 DUE TO LEAVE\n\nI am a Gr.A, [MASKED_STATE Govt.] employee. I have submitted my SAR for FY 2020-21 with 10 days break. Both were forwarded and accepted. Now, head office is saying that the 10 days gap will be treated as service break. For those days, I was on transit leave and on a public holiday, combined, as I was transferred from one place to another (different district).\n\nWhat should be done under this circumstance?","Subject: The rules regarding gap in part SAR due to transit leave due to transfer

Application under RTI act 2005\nSUB: REQUEST FOR PROVIDING CLARIFICATION REGARDING THE GAP IN SAR-2020-21 DUE TO LEAVE\n\nI am a Gr.A, [MASKED_STATE Govt.] employee. I have submitted my SAR for FY 2020-21 with 10 days break. Both were forwarded and accepted. Now, head office is saying that the 10 days gap will be treated as service break. For those days, I was on transit leave and on a public holiday, combined, as I was transferred from one place to another (different district).\n\nWhat should be done under this circumstance?"
1142868,No Specific Template,Information Regarding - details of TIMIR MANDAL,"""I, [MASKED_NAME] IS THE SUSPENDED HEADMASTER OF CHANDPUR HIGH SCHOOL. THE ADDRESS OF THE SCHOOL IS P.O. [MASKED_ADDRESS], P.S. RAJARHAT, DISTRICT: NORTH 24 PARGANAS, KOLKATA - 700135. TIMIR MANDAL AN EX-ASSISTANT TEACHER OF YOUR INSTITUTION JOINED CHANDPUR HIGH SCHOOL ON 01.12.2016 WITH THE ORDER OF MUTULAL TRANSFER [MEMO NO. [MASKED_ID], DATED: [MASKED_DATE]. BUT HE DID NOT SUBMITTED HIS SERVICE BOOK AND OTHER SERVICE RELATED DOCUMENT TO ME ON AND BEFORE [MASKED_DATE]. 
 
 NOW I HAVE NEED SOME SERVICE DOCUMENT ACCORDING TO RTI RULES. THE SERVICE RELATER DOCUMENTS WHICH I BADLY NEEDED ARE 1. TIMIR MANDALS' SSC RECOMMENDATION LETTER, 2. JOINING REPORT, 3. COPY OF THE RESOLUTION FOR HIS APPROVAL, 4. MEMOS OF HIS TEMPORAL AND PERMANENT APPROVAL, 5. HIS LEAVE REGISTER, 6.DATES OF HIS ONDUTY 7. HIS ALL EDUCATIONAL TESTIMONIALS[MARK SHEETS and CERTIFICATES] AND 8. HIS S.C. CERTIFICATE.""","Subject: Information Regarding - details of TIMIR MANDAL

""I, [MASKED_NAME] IS THE SUSPENDED HEADMASTER OF CHANDPUR HIGH SCHOOL. THE ADDRESS OF THE SCHOOL IS P.O. [MASKED_ADDRESS], P.S. RAJARHAT, DISTRICT: NORTH 24 PARGANAS, KOLKATA - 700135. TIMIR MANDAL AN EX-ASSISTANT TEACHER OF YOUR INSTITUTION JOINED CHANDPUR HIGH SCHOOL ON 01.12.2016 WITH THE ORDER OF MUTULAL TRANSFER [MEMO NO. [MASKED_ID], DATED: [MASKED_DATE]. BUT HE DID NOT SUBMITTED HIS SERVICE BOOK AND OTHER SERVICE RELATED DOCUMENT TO ME ON AND BEFORE [MASKED_DATE]. 
 
 NOW I HAVE NEED SOME SERVICE DOCUMENT ACCORDING TO RTI RULES. THE SERVICE RELATER DOCUMENTS WHICH I BADLY NEEDED ARE 1. TIMIR MANDALS' SSC RECOMMENDATION LETTER, 2. JOINING REPORT, 3. COPY OF THE RESOLUTION FOR HIS APPROVAL, 4. MEMOS OF HIS TEMPORAL AND PERMANENT APPROVAL, 5. HIS LEAVE REGISTER, 6.DATES OF HIS ONDUTY 7. HIS ALL EDUCATIONAL TESTIMONIALS[MARK SHEETS and CERTIFICATES] AND 8. HIS S.C. CERTIFICATE."""
1142451,No Specific Template,The daily progress made on my application dated [MASKED_DATE] for covid insurance money of Rs. 1 lakh,"I’m [MASKED_NAME], M.B.B.S. from Medical college and hospital, Kolkata. During my internship, I suffered from Covid-19 infection. I was diagnosed on [MASKED_DATE] and was then admitted in my own hospital for adequate duration. Being a frontline covid worker, I am entitled to covid insurance money of Rs. 1 lakh as per government of West Bengal, in pursuance of order number HF/0/COVID-19/[MASKED_ID] dated [MASKED_DATE]. I have submitted the needed documents twice but am still waiting for the claim since past 2 years. I would like to know the current status of my application, why have I not received my fair share yet and when will I get it. \nThankyou.","Subject: The daily progress made on my application dated [MASKED_DATE] for covid insurance money of Rs. 1 lakh

I’m [MASKED_NAME], M.B.B.S. from Medical college and hospital, Kolkata. During my internship, I suffered from Covid-19 infection. I was diagnosed on [MASKED_DATE] and was then admitted in my own hospital for adequate duration. Being a frontline covid worker, I am entitled to covid insurance money of Rs. 1 lakh as per government of West Bengal, in pursuance of order number HF/0/COVID-19/[MASKED_ID] dated [MASKED_DATE]. I have submitted the needed documents twice but am still waiting for the claim since past 2 years. I would like to know the current status of my application, why have I not received my fair share yet and when will I get it. \nThankyou."
